filename,dynasty,author,title,form,technique_zh,subject_zh,technique,subject,category_3,category_raw,category_fine
" _ _丹凤呦鹿图_页_浅绛,山水__ _绢本_ _ _d7fc676d.jpg",,,丹凤呦鹿图,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
" _周文矩_合乐 _页_工笔,人物_ _ _ _ _ _e270bfe1.jpg",,周文矩,合乐,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
" _周文矩_琉璃堂人物图_页_工笔,人物_ _ _绢本_ _ _47df201a.jpg",,周文矩,琉璃堂人物图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
" _周文矩_西子浣纱图_页_工笔,人物_  _ _绢本 _  _ _e88c8d4f.jpg",,周文矩,西子浣纱图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
" _周文矩_重屏会棋图_卷_工笔,人物__ _纸本 _  _ _54512de1.jpg",,周文矩,重屏会棋图,卷,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
" _周文矩_重屏会棋图_页_工笔,人物_  _ _绢本 _  _ _bafddbf3.jpg",,周文矩,重屏会棋图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
" _巨然_山水图_页_水墨,山水_山水 _  _  _ _74e79d64.jpg",,巨然,山水图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
" _徐熙_雪竹图_页_水墨,山水_花鸟 _  _  _ _69f93cba.jpg",,徐熙,雪竹图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
" _赵干_江行初雪图_卷_工笔,人物__ _绢本 _  _ _c2493f3e.jpg",,赵干,江行初雪图,卷,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
" _顾闳中_韩熙载夜宴图_卷 _工笔,人物_人物,古装,彩绘,文字,印章,坐卧,集体人物,扇子_绢本_28.7cmX333.5cm_北京故宫博物院_28f90b83.jpg",,顾闳中,韩熙载夜宴图,卷,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"_ _乡村织布鸟_页_白描,花鸟_ _ _ _36b29e9d.jpg",,,乡村织布鸟,页,白描,花鸟,Baimiao,FlowerBird,FlowerBird,Baimiao-FlowerBird,Gongbi-FlowerBird
"_ _云雀_页_白描,花鸟_ _ _ _53379b29.jpg",,,云雀,页,白描,花鸟,Baimiao,FlowerBird,FlowerBird,Baimiao-FlowerBird,Gongbi-FlowerBird
"_关仝_秋山晚翠图_页_水墨,山水_ _ _绢本_ _ _90c5a211.jpg",,关仝,秋山晚翠图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"_周文矩_宋摹本宫中 _页_工笔,人物_ _ _绢本_ _ _ca6d5122.jpg",,周文矩,宋摹本宫中,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"五代 _ _神骏图_卷_工笔,人物_ _绢本_28cmX143cm _ _0fca6d8d.jpg",五代,,神骏图,卷,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"五代_黄荃_写生珍禽图_页_工笔,花鸟_ _花鸟_绢本_41.5cmX70.8cm _ _b50b598d.jpg",五代,黄荃,写生珍禽图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"五代后蜀_黃居寀_宣和图谱_页_工笔,花鸟_ _工笔,树枝,树叶,含苞花,蝴蝶,印章 _  _  _ _3ef6afd4.jpg",五代后蜀,黃居寀,宣和图谱,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"五代后蜀_黃居寀_宣和图谱_页_工笔,花鸟_ _工笔,树枝,树叶,盛开花,白花,印章 _  _  __f3aa8b87.jpg",五代后蜀,黃居寀,宣和图谱,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"五代后蜀_黃居寀_宣和图谱_页_工笔,花鸟_ _工笔,树枝,树叶,盛开花,白花,含苞花,蓝花,印章 _  _  _ _fefbc974.jpg",五代后蜀,黃居寀,宣和图谱,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"五代后蜀_黃居寀_宣和图谱_页_工笔,花鸟_ _工笔,树枝,树叶,盛开花,白花,红花,印章 _  _  _ _7c0b9c75.jpg",五代后蜀,黃居寀,宣和图谱,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"五代后蜀_黃居寀_宣和图谱_页_工笔,花鸟_ _工笔,树枝,树叶,盛开花,白花,红花,蓝花,石头,草,印章 _  _  _ _b3b5978e.jpg",五代后蜀,黃居寀,宣和图谱,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
